ID,Pergunta,A,Nó A,B,Nó B
1,Sqft_living é menor ou igual a 1845.0 ?,SIM,2,NÃO,3 
2,Sqft_living é menor ou igual a 1535.0 ?,SIM,4,NÃO,5
3,Sqft_living15 é menor ou igual a 2165.0 ?,SIM,6,NÃO,7
4,Sqft_basament é menor ou igual a 345.0 ?,SIM,8,NÃO,9
5,Sqft_living15 é menor ou igual a 1475.0 ?,SIM,10,NÃO,11
6,Sqft_living é menor ou igual a 1945.0 ?,SIM,12,NÃO,13
7,Sqft_living é menor ou igual a 2250.0 ?,SIM,14,NÃO,15
8,Sqft_lot15 é menor ou igual a 3442.0 ?,SIM,16,NÃO,17
9,Sqft_lot15 é menor ou igual a 7031.5 ?,SIM,18,NÃO,19
10,NÓ FOLHA,A Casa é Barata,,,
11,Sqft_living15 é menor ou igual a 1625.0 ?,SIM,20,NÃO,21
12,Sqft_living15 é menor ou igual a 1975.0 ?,SIM,22,NÃO,23
13,Grade é menor ou igual a 8.5 ?,SIM,24,NÃO,25
14,Bathrooms é menor ou igual a 2.0 ?,SIM,26,NÃO,27
15,Sqft_lot15 é menor ou igual a 11539.5 ?,SIM,28,NÃO,29
16,NÓ FOLHA, A Casa é Barata,,,
17,yr_built  é menor ou igual a 1920.5 ?,SIM,30,NÃO,31
18,NÓ FOLHA,A Casa é Barata,,,
19,Sqft_basament é menor ou igual a 505.0 ?,SIM,32,NÃO,33
20,NÓ FOLHA,A Casa é Cara,,,
21,Sqft_living15 é menor ou igual a 1695.0 ?,SIM,34,NÃO,35
22,Condition é menor ou igual a 2.5 ?,SIM,36,NÃO,37
23,Sqft_lot é menor ou igual a 7450.0 ?,SIM,38,NÃO,39
24,NÓ FOLHA,A Casa é Barata,,,
25,Bedrooms é menor ou igual 3.5 ?,SIM,40,NÃO,41
26,Sqft_above é menor ou igual a 1935.0 ?,SIM,42,NÃO,43
27,Sqft_living15 é menor ou igual a 2560.0 ?,SIM,44,NÃO,45
28,Sqft_lot é menor ou igual a 5123.0 ?,SIM,46,NÃO,47
29,Bedrooms é menor ou igual a 3.5 ?,SIM,48,NÃO,49
30,NÓ FOLHA,A casa é Barata,,,
31,Sqft_living é menor ou igual a 845.0 ?,SIM,50,NÃO,51
32,Sqft_above é menor ou igual a 1090.0 ?,SIM,52,NÃO,53
33,Sqft_basament é menor ou igual a 615.0 ?,SIM,54,NÃO,55
34,NÓ FOLHA,A Casa é Barata,,,
35,Bathrooms é menor ou igual a 2.625 ?,SIM,56,NÃO,57
36,NÓ FOLHA,A Casa é Cara,,,
37,Yr_built é menor ou igual a 1994.0 ?,SIM,58,NÃO,59
38,NÓ FOLHA,A Casa é Barata,,,
39,Sqft_above é menor ou igual a 1885 ?,SIM,60,NÃO,61
40,NÓ FOLHA,A Casa é Cara,,,
41,NÓ FOLHA,A Casa é Barata,,,
42,Sqft_lot15 é menor ou igual a 8100.0 ?,SIM,62,NÃO,63
43,NÓ FOLHA,A Casa é Barata,,,
44,Yr_built é menor ou igual a 1990.5 ?,SIM,64,NÃO,65
45,NÓ FOLHA,A Casa é Barata,,,
46,Sqft_above é menor ou igual a 2913.5 ?,SIM,66,NÃO,67
47,Sqft_lot é menor ou igual a 18200.5 ?,SIM,68,NÃO,69
48,Sqft_above é menor ou igual a 1445.0 ?,SIM,70,NÃO,71
49,Sqft_lot15 é menor ou igual a 12945.0 ?,SIM,72,NÃO,73
50,Sqft_lot15 é menor ou igual a 9049.5 ?,SIM,74,NÃO,75
51,Sqft_lot15 é menor ou igual a 8184.5 ?,SIM,76,NÃO,77
52,Yr_built é menor ou igual a 1981.5 ?,SIM,78,NÃO,79
53,Yr_built é menor ou igual a 1966.5 ?,SIM,80,NÃO,81
54,NÓ FOLHA,A Casa é Barata,,,
55,NÓ FOLHA,A Casa é Cara,,,
56,Sqft_lot é menor ou igual a 7567.5 ?,SIM,82,NÃO,83
57,NÓ FOLHA,A Casa é Barata,,,
58,Sqft_lot é menor ou igual a 6641.5 ?,SIM,84,NÃO,85
59,NÓ FOLHA,A Casa é Cara,,,
60,NÓ FOLHA,A Casa é Cara,,,
61,Sqft_living é menor ou igual a 1915.0 ?,SIM,86,NÃO,87
62,NÓ FOLHA,A Casa é Barata,,,
63,NÓ FOLHA,A Casa é Cara,,,
64,Sqft_lot é menor ou igual a 7429.0 ?,SIM,88,NÃO,89
65,Yr_built é menor ou igual a 2000.5 ?,SIM,90,NÃO,91
66,NÓ FOLHA,A Casa é Cara,,,
67,NÓ FOLHA,A Casa é Barata,,,
68,Floors é menor ou igual a 2.25 ?,SIM,92,NÃO,93
69,NÓ FOLHA,A Casa é Cara,,,
70,NÓ FOLHA,A Casa é Barata,,,
71,Sqrt_living é menor ou igual a 3595.0 ?,SIM,94,NÃO,95
72,Sqrt_above é menor ou igual a 3405.0 ?,SIM,96,NÃO,97
73,Bedrooms é menor ou igual a 4.5 ?,SIM,98,NÃO,99
74,NÓ FOLHA,A Casa é Cara,,,
75,Sqft_lot é menor ou igual a 8940.0 ?,SIM,100,NÃO,101
76,NÓ FOLHA,A Casa é Cara,,,
77,Sqft_lot é menor ou igual a 8308.5 ?,SIM,102,NÃO,103
78,NÓ FOLHA,A Casa é Cara,,,
79,NÓ FOLHA,A Casa é Barata,,,
80,NÓ FOLHA,A Casa é Barata,,,
81,Grade é menor ou igual a 7.5 ?,SIM,104,NÃO,105
82,Bathrooms é menor ou igual a 2.375 ?,SIM,106,NÃO,107
83,Sqft_lot é menor ou igual a 17080.0 ?,SIM,108,NÃO,109
84,Sqft_lot15 é menor ou igual a 6715.0 ?,SIM,110,NÃO,111
